normalized_name,original_name,occurrence_count
active learning,Active Learning,1820
active listening,Active Listening,1820
critical thinking,Critical Thinking,1820
learning strategies,Learning Strategies,1820
mathematics,Mathematics,1820
monitoring,Monitoring,1820
reading comprehension,Reading Comprehension,1820
science,Science,1820
speaking,Speaking,1820
writing,Writing,1820
