source,source_version,original_name,normalized_name,occurrence_count,occupation_count,hot_technology_count,in_demand_count
O*NET,31.0,Object or component oriented development software,object or component oriented development software,909,211,656,161
O*NET,31.0,Object oriented data base management software,object oriented data base management software,65,42,48,5
O*NET,31.0,Office suite software,office suite software,926,818,843,389
O*NET,31.0,Operating system software,operating system software,909,342,691,47
O*NET,31.0,Optical character reader OCR or scanning software,optical character reader ocr or scanning software,75,66,0,0
O*NET,31.0,Pattern design software,pattern design software,14,9,0,0
O*NET,31.0,Platform interconnectivity software,platform interconnectivity software,11,11,0,0
O*NET,31.0,Point of sale POS software,point of sale pos software,179,43,0,1
O*NET,31.0,Portal server software,portal server software,25,24,0,0
O*NET,31.0,Presentation software,presentation software,740,633,629,196
O*NET,31.0,Procedure management software,procedure management software,9,8,6,1
O*NET,31.0,Process mapping and design software,process mapping and design software,164,154,146,3
O*NET,31.0,Procurement software,procurement software,26,19,0,4
O*NET,31.0,Program testing software,program testing software,238,55,42,10
O*NET,31.0,Project management software,project management software,675,304,338,16
O*NET,31.0,Requirements analysis and system architecture software,requirements analysis and system architecture software,47,28,0,0
O*NET,31.0,Risk management data and analysis software,risk management data and analysis software,14,10,0,1
O*NET,31.0,Route navigation software,route navigation software,28,17,0,0
O*NET,31.0,Sales and marketing software,sales and marketing software,89,46,48,3
O*NET,31.0,Software defined networking/ virtualization software,software defined networking/ virtualization software,1,1,0,0
O*NET,31.0,Spell checkers,spell checkers,7,6,0,0
O*NET,31.0,Spreadsheet software,spreadsheet software,918,859,867,339
O*NET,31.0,Storage media loading software,storage media loading software,2,2,0,0
O*NET,31.0,Storage networking software,storage networking software,32,22,0,0
O*NET,31.0,Switch or router software,switch or router software,19,11,9,1
O*NET,31.0,Tax preparation software,tax preparation software,44,7,3,1
O*NET,31.0,Text to speech conversion software,text to speech conversion software,2,2,0,0
O*NET,31.0,Time accounting software,time accounting software,135,75,13,1
O*NET,31.0,Transaction security and virus protection software,transaction security and virus protection software,154,51,0,5
O*NET,31.0,Transaction server software,transaction server software,61,39,0,3
O*NET,31.0,Video conferencing software,video conferencing software,195,117,79,12
O*NET,31.0,Video creation and editing software,video creation and editing software,387,140,46,23
O*NET,31.0,Voice recognition software,voice recognition software,33,19,0,0
O*NET,31.0,Voice synthesizer and recognition software,voice synthesizer and recognition software,1,1,0,0
O*NET,31.0,WAN switching software and firmware,wan switching software and firmware,6,5,0,0
O*NET,31.0,Web page creation and editing software,web page creation and editing software,440,205,156,7
O*NET,31.0,Web platform development software,web platform development software,851,152,494,58
O*NET,31.0,Wireless software,wireless software,1,1,0,0
O*NET,31.0,Word processing software,word processing software,1100,789,893,81
